,,,,,,,,,,,,,,,,,,,,,,,,State,State - Abv,Eligible States,Not Eligible,Products,Price,Link,Allow States,BMI STATUS,STRIVE STATES,
,Prediabetes / Diabetes type 2,,,,,,,,,,,,,PARTIAL PAYMENT DISCOUNT,40.00%,ZM4L5732,,1 Arizona,1 Arizona,,,,,New Mexico,NM,yes,,Tirzepatide 52mg + 2 Slim Boost,"$1,477.00",https://buy.stripe.com/8wMeVYh1r7pNd329jT,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,South Dakota,SD
,COPD or Exercise-induced asthma,,,,,,,,,,,,,PARTIAL PAYMENT DISCOUNT,50.00%,FZ3FPG7G,,1 Arizona,1 Arizona,,,,,New York,NY,yes,,(6%Fee) Nutrition Consultation - 12 Months,"$1,461.91",https://buy.stripe.com/fZu9ASbDN6t55J3g0p0JJ3S,ALL,ALL,Tennessee,TN
,Irritable bowel disease (IBD),,,,,,,,,,,,,PARTIAL PAYMENT DISCOUNT,60.00%,FFZX3667,,1 Arizona,1 Arizona,,,,,North Carolina,NC,yes,,Combo Semaglutide 3mg + NAD,"$1,451.00",https://buy.stripe.com/14k29ch1rh0nfba3Ta,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Texas,TX
,Increased risk of heart attack or stroke,,,,,,,,,,,,,PARTIAL PAYMENT DISCOUNT,70.00%,5ZTEZXUR,,,,,,,,North Dakota,ND,yes,,(6% Fee) Combo Tirzepatide 8mg + NAD,"$1,442.66",https://buy.stripe.com/14k4hkcLbfWjaUUdtP,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Utah,UT
,Asian descent with a BMI between 23 and 29.9,,,,,,,,,,,,,PARTIAL PAYMENT DISCOUNT,80.00%,YHKK29YD,,,,,,,,Ohio,OH,yes,,Nutrition Consultation - 12 Months,"$1,379.16",https://buy.stripe.com/eVq4gybDN4kXdbv6pP0JH25,ALL,ALL,Vermont,VT
,,,,,,,,,,,,,,PARTIAL PAYMENT DISCOUNT,90.00%,WWRQXUG9,,,,,,,,Oklahoma,OK,yes,,(6% Fee) Tirzepatide 52mg,"$1,376.94",https://buy.stripe.com/6oE9BEh1reSf9QQdtH,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Virginia,VA
,,,,,,,,,,,,,,,,,,,,,,,,Oregon,OR,yes,,Combo Tirzepatide 8mg + NAD,"$1,361.00",https://buy.stripe.com/8wM3dg3aBcK73ssahC,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Washington,WA
,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania,PA,yes,,(6% Fee) Combo Semaglutide 7mg,"$1,341.96",https://buy.stripe.com/00g9BE6mNh0nbYY7f9,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Wisconsin,WI
,Product,Price,Link,,,,Supplements,,Price,,Link,,,,,,,,,,,,,Rhode Island,RI,yes,,Tirzepatide 52mg,"$1,299.00",https://buy.stripe.com/eVa6pseTjcK7e76dsQ,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Wyoming,WY
,(6% Fee) Nutrition Consultation - 12 Months + 6 Slim Boost,"$2,027.95",https://buy.stripe.com/cNi00i0Z904H3AV6pP0JJ2h,,,,Slim Boost,,$89.00,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,South Carolina,SC,yes,,Combo Semaglutide 7mg,"$1,266.00",https://buy.stripe.com/9AQ8xA7qR25t8MMard,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Nutrition Consultation - 12 Months + 6 Slim Boost,"$1,913.16",https://buy.stripe.com/3cIfZgePZeZB5J3eWl0JJ2d,,,,Ultra Cleanse Smoothie Greens,,$42.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,South Dakota,SD,yes,,(6% Fee) Combo Tirzepatide 24mg,"$1,258.22",https://buy.stripe.com/bIYg02h1r8tR0gggFQ,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,(6%Fee) Nutrition Consultation - 12 Months,"$1,461.91",https://buy.stripe.com/fZu9ASbDN6t55J3g0p0JJ3S,,,,L-Glutamine Powder,,$39.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,Tennessee,TN,yes,,Combo Tirzepatide 24mg,"$1,187.00",https://buy.stripe.com/cN28xA5iJdOb9QQ1KT,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Nutrition Consultation - 12 Months,"$1,379.16",https://buy.stripe.com/eVq4gybDN4kXdbv6pP0JH25,,,,Brain & Focus Formula,,$39.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,Texas,TX,yes,,Combo Semaglutide 10mg,"$1,177.00",https://buy.stripe.com/9AQdRU7qRaBZ6EE3UO,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,(6% Fee) Nutrition Consultation - 6 Months + 3 Slim Boost,"$1,130.87",https://buy.stripe.com/3cI9AS23d3gT3AV7tT0JJ2g,,,,Energy Strips,,$36.50,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,Utah,UT,yes,,(6% Fee) Tirzepatide 24mg + Nutritional Consultation,"$1,163.88",https://buy.stripe.com/bJe9ASgY7bNp9Zj8xX0JH2f,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Nutrition Consultation - 6 Months + 3 Slim Boost,"$1,066.86",https://buy.stripe.com/9B6cN4ePZbNpfjD4hH0JJ2c,,,,Sleep Strips,,$36.50,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,Vermont,VT,yes,,(6% Fee) Semaglutide 7mg + Nutritional Consultation,"$1,153.28",https://buy.stripe.com/aFa28q7nx8Bd0oJ01r0JH2h,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,(6%Fee) Nutrition Consultation - 6 Months,$847.85,https://buy.stripe.com/dRm00i6jtcRt2wR6pP0JJ3R,,,,Grass-Fed Hydrolyzed Collagen Peptides,,$35.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,Virginia,VA,yes,,(6% Fee) Tirzepatide - Microdose + 2 months Nutrition Consultation + Slim Boost,"$1,151.16",https://buy.stripe.com/4gMaEWazJ9Fh3AVcOd0JL1B,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
